"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0.3,6,"1650",53.8,"405","0.239","0.424","0.338",25.2,26.9,19.1,"0.233","0.419","0.331",44.1
"Burnes, Corbin",669203,"BAL","FC","Cutter",1.5,20,"1348",45,"400","0.251","0.362","0.306",19,16,19.4,"0.259","0.386","0.308",31.9
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",-0.1,-2,"1657",55.3,"392","0.281","0.418","0.369",22.6,19.9,17.3,"0.274","0.424","0.349",40.6
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.3,4,"1484",50.2,"388","0.278","0.462","0.353",17.4,16.8,16.7,"0.287","0.532","0.38",51.2
"Cease, Dylan",656302,"SD","SL","Slider",1.4,20,"1372",43,"362","0.159","0.256","0.208",44.7,39,25.4,"0.167","0.264","0.21",34.3
"Greene, Hunter",668881,"CIN","FF","4-Seam Fastball",1.4,20,"1415",55.2,"358","0.184","0.273","0.266",24.9,28.5,20.6,"0.195","0.318","0.283",39.4
"Rodón, Carlos",607074,"NYY","FF","4-Seam Fastball",0.4,5,"1530",49.3,"354","0.262","0.514","0.369",21.4,17.2,15,"0.278","0.562","0.39",50.6
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",0.5,6,"1343",51.9,"353","0.23","0.471","0.325",17.7,18.7,17.9,"0.238","0.45","0.317",45.3
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",-0.4,-6,"1324",47.3,"344","0.345","0.481","0.406",13.1,9.3,12.3,"0.339","0.487","0.387",44.1
"Ragans, Cole",666142,"KC","FF","4-Seam Fastball",1.3,17,"1299",41.7,"342","0.21","0.349","0.3",23.2,26.3,22.3,"0.22","0.36","0.307",40.7
"Valdez, Framber",664285,"HOU","SI","Sinker",0.8,10,"1202",46.3,"340","0.28","0.411","0.344",11.6,10.3,21.7,"0.301","0.452","0.359",51.8
"Corbin, Patrick",571578,"WSH","SI","Sinker",-1.7,-17,"1037",35.9,"339","0.334","0.565","0.413",10,13.6,17.4,"0.337","0.551","0.406",55.1
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",-0.9,-11,"1168",48.6,"333","0.276","0.425","0.338",12,14.7,15.7,"0.281","0.487","0.358",41.4
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",0.5,7,"1341",55.7,"328","0.249","0.418","0.32",19.5,28,19.8,"0.249","0.389","0.308",51.9
"Bassitt, Chris",605135,"TOR","SI","Sinker",0.2,3,"1207",40.8,"326","0.326","0.422","0.382",12.8,17.5,18,"0.302","0.421","0.361",41.2
"Singer, Brady",663903,"KC","SL","Slider",0.4,4,"1196",40.3,"325","0.207","0.361","0.286",35.4,26.5,21.1,"0.245","0.39","0.311",36.2
"Cease, Dylan",656302,"SD","FF","4-Seam Fastball",-0.2,-3,"1386",43.5,"324","0.232","0.387","0.342",20.3,19.8,17.2,"0.243","0.433","0.354",44
"Steele, Justin",657006,"CHC","FF","4-Seam Fastball",0.4,5,"1220",59.6,"323","0.25","0.392","0.333",22.4,22,24.3,"0.23","0.335","0.289",37.7
"Harrison, Kyle",690986,"SF","FF","4-Seam Fastball",0.6,7,"1197",57.6,"321","0.249","0.425","0.332",23,24.6,20.4,"0.241","0.424","0.327",49.5
"Heaney, Andrew",571760,"TEX","FF","4-Seam Fastball",0.1,2,"1397",51.2,"320","0.238","0.415","0.34",21.2,24.7,17.4,"0.237","0.427","0.33",44.7
"Webb, Logan",657277,"SF","CH","Changeup",-0.4,-4,"990",30.9,"319","0.275","0.411","0.322",21.6,17.9,16.4,"0.308","0.502","0.366",51.6
"Singer, Brady",663903,"KC","SI","Sinker",1.1,13,"1235",41.6,"317","0.265","0.387","0.327",13,20.2,24,"0.278","0.43","0.34",45.8
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",0.1,1,"1249",53.5,"317","0.254","0.451","0.36",19.4,18.3,16.1,"0.266","0.463","0.367",43.2
"Morton, Charlie",450203,"ATL","CU","Curveball",0.4,5,"1183",42.4,"316","0.2","0.309","0.279",34.2,32.3,22.1,"0.182","0.26","0.255",31.3
"Webb, Logan",657277,"SF","SI","Sinker",1.3,17,"1273",39.8,"314","0.269","0.339","0.307",14.1,16.6,20.5,"0.259","0.366","0.31",44.9
"Gil, Luis",661563,"NYY","FF","4-Seam Fastball",0.1,1,"1298",48.7,"310","0.205","0.395","0.319",28.5,28.4,23.3,"0.21","0.37","0.316",42
"Nola, Aaron",605400,"PHI","CU","Curveball",1.1,12,"1049",32.9,"304","0.221","0.381","0.285",37,31.3,22.3,"0.218","0.341","0.264",33.3
"Kikuchi, Yusei",579328,"HOU","FF","4-Seam Fastball",0,1,"1374",47,"303","0.274","0.505","0.351",28,27.4,22,"0.252","0.463","0.325",49
"Anderson, Tyler",542881,"LAA","CH","Changeup",1.6,17,"1082",37.1,"302","0.185","0.259","0.246",39.6,24.5,22.4,"0.217","0.31","0.272",20.1
"Bello, Brayan",678394,"BOS","SI","Sinker",-0.5,-6,"1091",40.3,"301","0.309","0.44","0.385",11.1,14,16.5,"0.287","0.435","0.367",50.2
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",1.4,18,"1295",45.3,"301","0.204","0.365","0.279",27.3,31.2,20.8,"0.205","0.383","0.286",44
"Falter, Bailey",663559,"PIT","FF","4-Seam Fastball",0.2,2,"1009",47.2,"300","0.247","0.401","0.32",16.6,17,17.6,"0.247","0.404","0.316",32.7
"Sale, Chris",519242,"ATL","SL","Slider",2.1,24,"1135",40.3,"298","0.171","0.236","0.21",42.7,41.6,29,"0.175","0.245","0.212",21.7
"Crochet, Garrett",676979,"CWS","FF","4-Seam Fastball",1.2,15,"1286",53.7,"297","0.199","0.296","0.261",31.4,33.7,25.3,"0.202","0.328","0.273",39.9
"Eovaldi, Nathan",543135,"TEX","FF","4-Seam Fastball",0.7,7,"980",37.4,"294","0.212","0.335","0.287",17.8,22.1,17.1,"0.237","0.387","0.315",46.2
"Flaherty, Jack",656427,"LAD","FF","4-Seam Fastball",0.4,5,"1133",42.8,"293","0.245","0.401","0.311",23.9,28.7,25,"0.254","0.439","0.328",39.8
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",1.8,18,"998",35.7,"292","0.177","0.22","0.208",34.8,31.2,20.9,"0.178","0.225","0.194",22
"Pivetta, Nick",601713,"BOS","FF","4-Seam Fastball",0.6,7,"1158",48.5,"292","0.239","0.399","0.307",21.9,27.7,21.3,"0.231","0.414","0.308",46.8
"Bibee, Tanner",676440,"CLE","FF","4-Seam Fastball",-0.8,-10,"1237",43.4,"292","0.282","0.476","0.364",21.3,19.2,16,"0.283","0.461","0.341",46.3
"Houck, Tanner",656557,"BOS","ST","Sweeper",0.7,8,"1131",41.4,"291","0.23","0.357","0.286",30.2,29.9,23.3,"0.219","0.38","0.288",37.2
"Cortes, Nestor",641482,"NYY","FF","4-Seam Fastball",0.5,6,"1298",45.6,"290","0.231","0.429","0.309",21.8,25.5,18.3,"0.222","0.419","0.303",52
"Anderson, Tyler",542881,"LAA","FF","4-Seam Fastball",-1.1,-12,"1157",39.7,"289","0.272","0.494","0.376",18.3,15.2,15.1,"0.272","0.498","0.368",42.3
"López, Reynaldo",625643,"ATL","FF","4-Seam Fastball",1.6,19,"1164",55.2,"287","0.266","0.369","0.319",16.5,19.9,19.7,"0.263","0.409","0.334",47.7
"López, Pablo",641154,"MIN","FF","4-Seam Fastball",1.2,15,"1206",40.4,"287","0.211","0.356","0.284",25.9,25.8,19.6,"0.239","0.41","0.31",45.3
"Wheeler, Zack",554430,"PHI","FF","4-Seam Fastball",1.2,16,"1297",41.4,"287","0.21","0.397","0.318",29.5,28.2,20.7,"0.205","0.384","0.303",41.3
"Irvin, Jake",663623,"WSH","FF","4-Seam Fastball",-0.3,-4,"1148",37.7,"286","0.205","0.383","0.283",23.6,27.3,17.2,"0.216","0.405","0.294",44.7
"Sears, JP",676664,"OAK","FF","4-Seam Fastball",-0.9,-9,"1036",36.3,"285","0.23","0.476","0.35",25.6,28.4,18.8,"0.219","0.449","0.332",48.5
"Flexen, Chris",623167,"CWS","FF","4-Seam Fastball",-0.6,-6,"1039",37.1,"284","0.26","0.472","0.367",13.1,13.4,13.5,"0.259","0.504","0.371",48.1
"Berríos, José",621244,"TOR","SI","Sinker",1,10,"973",33.4,"283","0.283","0.394","0.343",12.1,13.1,16.7,"0.298","0.45","0.359",50.5
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",-0.2,-2,"1160",46.3,"276","0.282","0.462","0.371",13.1,19.2,18.7,"0.28","0.463","0.369",48.4
"Kirby, George",669923,"SEA","FF","4-Seam Fastball",0.9,9,"1023",34.5,"271","0.23","0.467","0.31",28.9,30.6,21.2,"0.22","0.439","0.294",37.3
"Miller, Bryce",682243,"SEA","FF","4-Seam Fastball",1.2,14,"1156",42.1,"271","0.184","0.348","0.264",26.4,24.4,20,"0.224","0.463","0.323",45.1
"Suárez, Albert",544150,"BAL","FF","4-Seam Fastball",0.3,3,"1116",50,"266","0.276","0.469","0.353",22.8,19.9,14.1,"0.249","0.425","0.325",45.2
"Ober, Bailey",641927,"MIN","FF","4-Seam Fastball",0.1,1,"1028",38.1,"262","0.258","0.506","0.355",22.2,22.1,19.7,"0.247","0.484","0.35",47.2
"Pepiot, Ryan",686752,"TB","FF","4-Seam Fastball",1,10,"1084",50.4,"262","0.181","0.33","0.29",31.4,29.4,21.2,"0.172","0.347","0.292",43.4
"Gilbert, Logan",669302,"SEA","SL","Slider",1.1,10,"972",32,"262","0.21","0.375","0.286",36.8,24.8,21.9,"0.225","0.362","0.269",33.9
"Myers, Tobias",668964,"MIL","FF","4-Seam Fastball",0.8,7,"872",40.5,"261","0.236","0.43","0.331",19.2,24.9,21.9,"0.245","0.466","0.338",44.5
"Crawford, Kutter",676710,"BOS","FC","Cutter",0.5,5,"905",32.1,"260","0.216","0.418","0.33",26.5,16.9,23.3,"0.229","0.403","0.315",28
"Paxton, James",572020,"BOS","FF","4-Seam Fastball",-0.2,-2,"928",54.3,"260","0.265","0.433","0.363",14.9,13.1,12.5,"0.264","0.427","0.364",43.9
"Canning, Griffin",656288,"LAA","FF","4-Seam Fastball",-1.1,-12,"1073",37.4,"258","0.252","0.536","0.37",14.8,12.8,12,"0.271","0.522","0.376",44.1
"Assad, Javier",665871,"CHC","SI","Sinker",1,9,"899",35.4,"257","0.233","0.368","0.329",11.2,19.8,20.2,"0.246","0.41","0.337",37.2
"Gausman, Kevin",592332,"TOR","FS","Split-Finger",0.6,6,"959",32.4,"257","0.169","0.262","0.236",33.5,31.5,18.7,"0.212","0.31","0.266",28.8
"Feltner, Ryan",663372,"COL","FF","4-Seam Fastball",0.3,3,"924",35.8,"256","0.247","0.387","0.312",17.1,19.1,18.7,"0.264","0.428","0.329",41.2
"Hicks, Jordan",663855,"SF","SI","Sinker",0.1,1,"1009",51.5,"255","0.342","0.5","0.408",11.6,9,13.7,"0.321","0.498","0.388",48.5
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",1.4,14,"1018",48.3,"254","0.193","0.378","0.275",27.4,31.5,23.4,"0.191","0.353","0.265",41.7
"Severino, Luis",622663,"NYM","FF","4-Seam Fastball",0.4,5,"1030",35.6,"253","0.247","0.395","0.322",21.8,24.5,17.2,"0.227","0.35","0.297",40.5
"Arrighetti, Spencer",681293,"HOU","FF","4-Seam Fastball",-0.8,-8,"1018",40.6,"250","0.302","0.516","0.393",19.9,21.2,17.3,"0.273","0.475","0.368",51.8
"Soriano, José",667755,"LAA","SI","Sinker",1.9,16,"802",46.2,"249","0.215","0.262","0.284",16.8,8.8,17.7,"0.269","0.366","0.331",45.1
"Montas, Frankie",593423,"MIL","FF","4-Seam Fastball",-0.6,-5,"868",33,"248","0.208","0.37","0.307",22.9,29,18.7,"0.226","0.407","0.32",48.3
"Quintana, Jose",500779,"NYM","SI","Sinker",1.5,13,"859",30.5,"247","0.248","0.429","0.341",13.1,16.6,23.6,"0.288","0.462","0.372",49.7
"Estes, Joey",683155,"OAK","FF","4-Seam Fastball",0.2,2,"1035",51.1,"247","0.26","0.475","0.342",17.7,13,10.6,"0.26","0.52","0.359",48.5
"Fried, Max",608331,"ATL","FF","4-Seam Fastball",0.6,5,"899",32.5,"247","0.263","0.34","0.334",18,15,17.1,"0.271","0.371","0.336",29.7
"Jones, Jared",683003,"PIT","FF","4-Seam Fastball",0.6,6,"941",49.2,"246","0.224","0.425","0.322",25.8,24,22.5,"0.238","0.438","0.339",46.5
"Gilbert, Logan",669302,"SEA","FF","4-Seam Fastball",0.7,6,"938",30.8,"246","0.204","0.383","0.279",19.3,17.5,22.1,"0.258","0.453","0.33",47.9
"Wacha, Michael",608379,"KC","CH","Changeup",2,17,"839",32.2,"246","0.169","0.312","0.224",34.1,31.7,21.8,"0.175","0.307","0.228",26.1
"Hendricks, Kyle",543294,"CHC","CH","Changeup",-1.1,-9,"827",38.7,"246","0.267","0.409","0.316",23.9,15.4,13.2,"0.244","0.37","0.296",22.4
"Crawford, Kutter",676710,"BOS","FF","4-Seam Fastball",-0.4,-4,"952",33.7,"244","0.255","0.5","0.347",19.8,25.4,19.2,"0.24","0.48","0.337",50.9
"Gomber, Austin",596295,"COL","FF","4-Seam Fastball",-0.9,-9,"1058",40.4,"244","0.308","0.602","0.413",9.6,11.1,11.9,"0.308","0.598","0.413",52.1
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",0.9,8,"977",49.4,"243","0.227","0.295","0.308",16.5,9.5,12.2,"0.258","0.357","0.332",44.3
"Glasnow, Tyler",607192,"LAD","FF","4-Seam Fastball",0.8,7,"909",45.2,"243","0.215","0.421","0.321",21.5,24.7,27.9,"0.204","0.37","0.297",41.9
"Spence, Mitch",687765,"OAK","FC","Cutter",-0.4,-4,"981",39.5,"240","0.278","0.472","0.364",17.6,14.2,15.1,"0.252","0.408","0.332",45.5
"Bradley, Taj",671737,"TB","FF","4-Seam Fastball",0,0,"957",41.7,"240","0.269","0.5","0.378",21,17.1,15.6,"0.274","0.55","0.394",48.8
"Quantrill, Cal",615698,"COL","FS","Split-Finger",0,0,"846",32,"237","0.206","0.314","0.258",23.4,17.3,13,"0.238","0.357","0.28",33.3
"Brown, Hunter",686613,"HOU","FF","4-Seam Fastball",0.3,3,"1010",35,"236","0.249","0.423","0.339",29.4,35.6,23.3,"0.221","0.358","0.292",43.4
"King, Michael",650633,"SD","CH","Changeup",1.4,10,"713",24.6,"236","0.207","0.286","0.265",36.2,28,23.7,"0.217","0.276","0.255",19.9
"Imanaga, Shota",684007,"CHC","FS","Split-Finger",0.7,6,"792",30.6,"236","0.204","0.283","0.244",43.1,34.3,26.3,"0.217","0.316","0.24",29.3
"Rodón, Carlos",607074,"NYY","SL","Slider",-0.5,-4,"805",26,"236","0.199","0.361","0.274",39.3,43.2,24.5,"0.157","0.254","0.22",27
"Sale, Chris",519242,"ATL","FF","4-Seam Fastball",0.5,5,"1071",38,"235","0.272","0.423","0.333",23.8,32.8,21.9,"0.235","0.378","0.301",44.9
"Suárez, Ranger",624133,"PHI","SI","Sinker",0.7,5,"742",31.5,"235","0.273","0.384","0.326",10.1,20.9,25.7,"0.267","0.36","0.304",42.6
"Skubal, Tarik",669373,"DET","CH","Changeup",0.9,7,"771",26.9,"235","0.216","0.322","0.261",46.1,34.9,30.6,"0.209","0.313","0.236",28.6
"Ureña, José",570632,"TEX","SI","Sinker",0.7,5,"736",41.8,"234","0.271","0.371","0.334",11.9,8.5,11.2,"0.29","0.439","0.349",51
"Skubal, Tarik",669373,"DET","FF","4-Seam Fastball",2,19,"941",32.8,"233","0.197","0.286","0.25",27.7,32.2,24.5,"0.198","0.319","0.261",36.7
"Stroman, Marcus",573186,"NYY","SI","Sinker",0.1,1,"945",35.4,"232","0.301","0.459","0.401",12.3,11.2,13.9,"0.286","0.426","0.363",44.2
"Littell, Zack",641793,"TB","SL","Slider",1.1,9,"866",34.8,"232","0.257","0.427","0.321",22.7,18.1,24.4,"0.259","0.448","0.328",31.8
"Blanco, Ronel",669854,"HOU","SL","Slider",2.3,19,"830",30.2,"231","0.18","0.284","0.24",33.3,23.8,19.7,"0.23","0.35","0.285",31.9
"Francis, Bowden",670102,"TOR","FF","4-Seam Fastball",1.6,13,"797",51.1,"231","0.174","0.371","0.271",18.5,20.3,19.6,"0.215","0.423","0.302",39.5
"Houck, Tanner",656557,"BOS","SI","Sinker",0.2,2,"884",32.3,"230","0.27","0.325","0.336",14.2,16.1,19.5,"0.318","0.451","0.382",47.6
"Kikuchi, Yusei",579328,"HOU","SL","Slider",1.1,8,"701",24,"230","0.207","0.276","0.284",29.7,27.8,23.4,"0.24","0.351","0.309",45
"Fedde, Erick",607200,"STL","FC","Cutter",0.8,7,"934",32.3,"229","0.262","0.47","0.346",23.2,19.7,18.4,"0.252","0.43","0.331",34.2
"Canning, Griffin",656288,"LAA","CH","Changeup",0.5,4,"765",26.7,"229","0.259","0.387","0.318",28.8,16.6,17.4,"0.247","0.37","0.293",36.9
"Cortes, Nestor",641482,"NYY","FC","Cutter",0.7,5,"797",28,"229","0.249","0.378","0.307",25.1,19.7,22.4,"0.258","0.387","0.31",37.3
"Pfaadt, Brandon",694297,"AZ","FF","4-Seam Fastball",0.3,3,"933",33.4,"228","0.263","0.463","0.347",22.4,18.4,17.2,"0.278","0.51","0.37",48.8
"Manaea, Sean",640455,"NYM","FF","4-Seam Fastball",0.9,8,"931",31.1,"227","0.163","0.315","0.259",25.7,28.2,19.2,"0.214","0.384","0.299",38.6
"Irvin, Jake",663623,"WSH","CU","Curveball",0.4,4,"953",31.3,"225","0.226","0.42","0.305",25.1,21.3,15.8,"0.245","0.411","0.302",34.5
"Berríos, José",621244,"TOR","SV","Slurve",0.2,2,"832",28.6,"225","0.188","0.404","0.277",31,31.6,23.2,"0.217","0.406","0.292",33.8
"Woods Richardson, Simeon",680573,"MIN","FF","4-Seam Fastball",1,9,"924",40.3,"224","0.258","0.356","0.32",21.9,22.3,18.4,"0.229","0.394","0.319",41.8
"Waldron, Matt",663362,"SD","KN","Knuckleball",-1.1,-10,"936",38.2,"223","0.246","0.394","0.307",27.5,30.5,20.6,"0.227","0.338","0.278",28.3
"Pérez, Martín",527048,"SD","SI","Sinker",0.7,5,"806",36.6,"223","0.282","0.395","0.345",9.7,10.3,12.2,"0.287","0.435","0.357",44.8
"Civale, Aaron",650644,"MIL","FC","Cutter",1.4,12,"869",32.2,"223","0.232","0.394","0.322",23.3,18.8,21.6,"0.248","0.387","0.312",36.6
"Ober, Bailey",641927,"MIN","CH","Changeup",1,8,"792",29.4,"223","0.154","0.285","0.212",39.5,37.7,26,"0.164","0.263","0.206",22.1
"Spence, Mitch",687765,"OAK","SL","Slider",0.3,2,"810",32.6,"222","0.278","0.493","0.353",27.6,22.1,19.3,"0.245","0.447","0.324",36.9
"Fedde, Erick",607200,"STL","SI","Sinker",0.5,5,"874",30.2,"221","0.255","0.365","0.304",20.3,24.4,20.4,"0.277","0.421","0.335",53.4
"Hendricks, Kyle",543294,"CHC","SI","Sinker",-1.7,-13,"760",35.6,"221","0.333","0.493","0.382",10.9,10.4,14,"0.323","0.474","0.378",42.2
"Rodriguez, Grayson",680570,"BAL","FF","4-Seam Fastball",0.1,1,"896",47.7,"220","0.287","0.41","0.352",27,24.1,19.1,"0.241","0.387","0.318",40.8
